location,origin_date,target_date,output_type_id,value,output_type,target
Fresno,2024-04-30,2024-05-31,0,0.136104,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,1,0.22312,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,2,0.317284,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,3,0.546791,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,4,0.728446,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,5,0.835958,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,6,0.918118,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,8,1,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,10,1,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,15,1,CDF,WNV cases
Fresno,2024-04-30,2024-05-31,200,1,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,0,0.22312,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,1,0.317284,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,2,0.546791,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,3,0.728446,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,4,0.835958,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,5,0.918118,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,6,1,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,8,1,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,10,1,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,15,1,CDF,WNV cases
Fresno,2024-04-30,2024-06-30,200,1,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,0,0.317284,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,1,0.546791,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,2,0.728446,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,3,0.835958,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,4,0.918118,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,5,1,CDF,WNV cases
Fresno,2024-04-30,2024-07-31,6,1,CDF,WNV cases
